bpm,recommendation
35,"¡Atención! Tu ritmo cardíaco es peligrosamente bajo. Busca atención médica inmediatamente."
37,"¡Atención! Tu ritmo cardíaco es peligrosamente bajo. Busca atención médica inmediatamente."
40,"¡Atención! Tu ritmo cardíaco es peligrosamente bajo. Busca atención médica inmediatamente."
45,"¡Atención! Tu ritmo cardíaco es peligrosamente bajo. Busca atención médica inmediatamente."
49,"¡Atención! Tu ritmo cardíaco es peligrosamente bajo. Busca atención médica inmediatamente."
50,"Tu ritmo cardíaco está en el límite inferior de lo normal. Si no estás en reposo, considera visitar a un médico si experimentas síntomas como mareos o fatiga."
52,"Tu ritmo cardíaco está en el límite inferior de lo normal. Si no estás en reposo, considera visitar a un médico si experimentas síntomas como mareos o fatiga."
55,"Tu ritmo cardíaco está en el límite inferior de lo normal. Si no estás en reposo, considera visitar a un médico si experimentas síntomas como mareos o fatiga."
59,"Tu ritmo cardíaco está en el límite inferior de lo normal. Si no estás en reposo, considera visitar a un médico si experimentas síntomas como mareos o fatiga."
60,"¡Felicidades! Tu ritmo cardíaco está dentro de los rangos saludables."
66,"¡Felicidades! Tu ritmo cardíaco está dentro de los rangos saludables."
68,"¡Felicidades! Tu ritmo cardíaco está dentro de los rangos saludables."
70,"¡Felicidades! Tu ritmo cardíaco está dentro de los rangos saludables."
72,"¡Felicidades! Tu ritmo cardíaco está dentro de los rangos saludables."
75,"¡Felicidades! Tu ritmo cardíaco está dentro de los rangos saludables."
79,"¡Felicidades! Tu ritmo cardíaco está dentro de los rangos saludables."
82,"¡Felicidades! Tu ritmo cardíaco está dentro de los rangos saludables."
87,"¡Felicidades! Tu ritmo cardíaco está dentro de los rangos saludables."
92,"¡Felicidades! Tu ritmo cardíaco está dentro de los rangos saludables."
95,"¡Felicidades! Tu ritmo cardíaco está dentro de los rangos saludables."
100,"¡Felicidades! Tu ritmo cardíaco está dentro de los rangos saludables."
105,"Tu ritmo cardíaco es un poco más rápido de lo normal. Si estás en reposo, podría ser una señal de estrés. Respira profundamente."
110,"Tu ritmo cardíaco es un poco más rápido de lo normal. Si estás en reposo, podría ser una señal de estrés. Respira profundamente."
114,"Tu ritmo cardíaco es un poco más rápido de lo normal. Si estás en reposo, podría ser una señal de estrés. Respira profundamente."
116,"Tu ritmo cardíaco es un poco más rápido de lo normal. Si estás en reposo, podría ser una señal de estrés. Respira profundamente."
120,"Tu ritmo cardíaco es un poco más rápido de lo normal. Si estás en reposo, podría ser una señal de estrés. Respira profundamente."
122,"Tu ritmo cardíaco está elevado. Si no estás haciendo ejercicio, podrías estar experimentando algo de estrés o ansiedad. Considera relajarte."
124,"Tu ritmo cardíaco está elevado. Si no estás haciendo ejercicio, podrías estar experimentando algo de estrés o ansiedad. Considera relajarte."
128,"Tu ritmo cardíaco está elevado. Si no estás haciendo ejercicio, podrías estar experimentando algo de estrés o ansiedad. Considera relajarte."
132,"Tu ritmo cardíaco está elevado. Si no estás haciendo ejercicio, podrías estar experimentando algo de estrés o ansiedad. Considera relajarte."
137,"Tu ritmo cardíaco está elevado. Si no estás haciendo ejercicio, podrías estar experimentando algo de estrés o ansiedad. Considera relajarte."
140,"Tu ritmo cardíaco está elevado. Si no estás haciendo ejercicio, podrías estar experimentando algo de estrés o ansiedad. Considera relajarte."
142,"Tu ritmo cardíaco está bastante alto. Si no estás haciendo ejercicio, es importante que consultes a un profesional de salud."
146,"Tu ritmo cardíaco está bastante alto. Si no estás haciendo ejercicio, es importante que consultes a un profesional de salud."
149,"Tu ritmo cardíaco está bastante alto. Si no estás haciendo ejercicio, es importante que consultes a un profesional de salud."
153,"Tu ritmo cardíaco está bastante alto. Si no estás haciendo ejercicio, es importante que consultes a un profesional de salud."
157,"Tu ritmo cardíaco está bastante alto. Si no estás haciendo ejercicio, es importante que consultes a un profesional de salud."
160,"Tu ritmo cardíaco está bastante alto. Si no estás haciendo ejercicio, es importante que consultes a un profesional de salud."
164,"¡Atención! Tu ritmo cardíaco está en un nivel peligroso. Si no estás haciendo ejercicio, busca ayuda médica inmediatamente."
168,"¡Atención! Tu ritmo cardíaco está en un nivel peligroso. Si no estás haciendo ejercicio, busca ayuda médica inmediatamente."
170,"¡Atención! Tu ritmo cardíaco está en un nivel peligroso. Si no estás haciendo ejercicio, busca ayuda médica inmediatamente."
173,"¡Atención! Tu ritmo cardíaco está en un nivel peligroso. Si no estás haciendo ejercicio, busca ayuda médica inmediatamente."
179,"¡Atención! Tu ritmo cardíaco está en un nivel peligroso. Si no estás haciendo ejercicio, busca ayuda médica inmediatamente."
